127.0.0.1 - - [12/Apr/2023:22:01:22 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:01:28 -0300] "GET /sisrh/sisfin.html HTTP/1.1" 200 2334
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:01:31 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:01:31 -0300] "GET /sisrh/sisfin.html HTTP/1.1" 200 2334
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:01:44 -0300] "GET /sisrh/sisfin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:01:47 -0300] "GET /sisrh/sisfin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:01:56 -0300] "GET /sisrh/rest/empregado HTTP/1.1" 403 683
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:01:58 -0300] "GET /sisrh/rest/empregado HTTP/1.1" 403 683
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:02:16 -0300] "GET /sisrh/sisfin.html HTTP/1.1" 200 2323
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:02:16 -0300] "GET /sisrh/sisfin.html HTTP/1.1" 200 2323
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:02:17 -0300] "GET /sisrh/rest/empregado HTTP/1.1" 403 683
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:02:18 -0300] "GET /sisrh/rest/empregado HTTP/1.1" 403 683
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:02:25 -0300] "POST /sisrh/rest/loginunico/jwt HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:02:30 -0300] "GET /sisrh/rest/empregado HTTP/1.1" 200 22274
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:13:58 -0300] "GET /sisrh/sisfin.html HTTP/1.1" 200 2339
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:13:58 -0300] "GET /sisrh/sisfin.html HTTP/1.1" 200 2339
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:14:36 -0300] "GET /sisrh/sisfin.html HTTP/1.1" 200 2347
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:14:36 -0300] "GET /sisrh/sisfin.html HTTP/1.1" 200 2347
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:14:42 -0300] "POST /sisrh/rest/loginunico/jwt HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:14:43 -0300] "GET /sisrh/rest/empregado HTTP/1.1" 200 22274
